botid,date(mmddyy),time(hhmmss),press(dbar),theta(ITS-90),sigma(kg/m3),temp(ITS-90),csal(PSS-78),coxy(umol/kg),bsal(PSS-78),boxy(umol/kg),dic(umol/kg),ph,alk(ueq/kg),phos(umol/kg),pH,Aragonite,Calcite
30200112,10889,31031,2396.7,1.6244,27.713,1.7916,34.6407,98.3,34.642,101.4,2364.4,-9,2424,2.79,7.824,0.991,1.576
30200111,10889,30505,2575.1,1.5043,27.73,1.6854,34.6509,107.5,34.6524,110.2,2358.6,-9,2422,2.75,7.838,1.016,1.615
30200110,10889,30034,2786.4,1.3924,27.746,1.5911,34.6612,-9,-9,119.9,2345.8,-9,2421,2.71,7.876,1.099,1.747
30200109,10889,25559,2987.6,1.3224,27.757,1.5388,34.6684,125.6,34.6694,126.6,2350.7,-9,2418,2.68,7.853,1.041,1.656
30200108,10889,25148,3197.6,1.2582,27.766,1.494,34.6739,133.9,34.6751,134.3,2336,-9,2414,-9,7.895,1.137,1.808
30200106,10889,24311,3590,1.1804,27.777,1.4546,34.6815,145.1,34.6816,143.6,2335,-9,2418,2.56,7.903,1.155,1.837
30200105,10889,23835,3794.8,1.1531,27.781,1.4486,34.6842,150.1,34.6839,149.9,2319.4,-9,2417,2.56,7.946,1.266,2.013
30200208,10889,64400,757.5,4.7488,27.137,4.8092,34.2853,30.3,34.287,31.8,2322,-9,2328,3.04,7.604,0.659,1.045
30200207,10889,63926,928.8,4.1233,27.331,4.1944,34.4434,37.4,34.445,41.1,2346.2,-9,2355,3.06,7.622,0.678,1.076
30200206,10889,63348,1148.5,3.5805,27.442,3.6658,34.5136,48,34.5139,51.6,2353.9,-9,2365,3.02,7.637,0.691,1.096
30200205,10889,62949,1351.3,3.0859,27.517,3.1833,34.5492,57,34.5522,60.7,2361.7,-9,2383,3,7.678,0.748,1.188
30200204,10889,62431,1600.2,2.5809,27.587,2.6935,34.58,68.5,34.5804,73.2,2359.7,-9,2391,2.96,7.719,0.805,1.279
30200203,10889,61933,1775.8,2.2892,27.625,2.4128,34.5967,75.8,34.5966,78.5,2362.6,-9,2403,2.9,7.753,0.862,1.370
30200202,10889,61513,1926.6,2.084,27.651,2.2174,34.6083,79.9,-9,84.4,2357.7,-9,2403,2.87,7.772,0.892,1.418
30200201,10889,60723,2201.1,1.7582,27.694,1.9103,34.6305,91.1,34.6303,93.7,2372.3,-9,2418,2.82,7.778,0.898,1.428
30200312,10889,104034,19.7,24.673,23.469,24.6773,35.0352,222.3,35.0356,209.3,1968,-9,2305,0.09,8.110,3.758,5.706
30200311,10889,103714,118.8,22.9425,24.029,22.9668,35.1023,215.8,35.1069,203.8,1997.2,-9,2311,0.13,8.097,3.484,5.317
30200310,10889,103432,186,19.8136,24.867,19.8478,35.0726,188.6,35.0725,185.3,2046.1,-9,2303,0.3,8.045,2.852,4.389
30200309,10889,103200,252.9,16.2017,25.47,16.2421,34.6984,186.6,34.7091,193.1,2056.4,-9,2282,0.46,8.047,2.492,3.871
30200308,10889,102855,334.2,12.1944,25.995,12.2385,34.2827,174.8,34.2836,182.3,2097.2,-9,2265,1.02,7.987,1.900,2.979
30200307,10889,102651,384.7,10.4342,26.238,10.4801,34.1804,165.5,34.1807,172.3,2117.9,-9,2258,1.34,7.946,1.633,2.569
30200306,10889,102432,436.6,9.1532,26.407,9.2014,34.1231,165.5,34.1241,166.3,2142.4,-9,2271,1.55,7.933,1.528,2.409
30200305,10889,102151,504.2,7.4549,26.642,7.5044,34.0938,123.2,34.0924,116.8,2205,-9,2275,2.14,7.784,1.050,1.661
30200304,10889,101950,549.5,6.6404,26.74,6.6911,34.0767,106.3,34.0746,100.2,2234.4,-9,2283,2.35,7.725,0.901,1.426
30200303,10889,101741,596.9,5.9095,26.868,5.9615,34.1188,76.5,34.1185,68.5,2267.6,-9,2303,2.68,7.690,0.819,1.297
30200302,10889,101341,710.8,5.0198,27.082,5.0777,34.2543,36.7,34.2519,33.4,2313.3,-9,2335,3,7.654,0.744,1.180
30200301,10889,100251,1016.4,3.8943,27.378,3.971,34.473,43,34.4741,45.1,2348.1,-9,2361,3.04,7.639,0.700,1.111
150200314,31890,204927,1845.3,2.217,27.637,2.3454,34.6041,-9,34.6042,80.9,2358.7,-9,2411,2.84,7.793,0.940,1.495
150200309,31890,202515,2804.6,1.4237,27.744,1.6247,34.6612,-9,34.6609,119.3,2346.3,-9,2426,2.65,7.890,1.134,1.803
150200304,31890,195910,3800.4,1.1601,27.78,1.4563,34.6833,-9,34.6832,145.4,2328.9,-9,2425,2.5,7.942,1.257,2.000
150200622,31990,82816,126.9,22.7005,24.043,22.7262,35.0312,-9,35.0318,210,1983.1,-9,2319,0.12,8.136,3.712,5.669
150200620,31990,82556,151.7,21.4239,24.458,21.4533,35.105,-9,35.1055,196.9,2017,-9,2317,0.2,8.095,3.317,5.084
150200618,31990,82356,177.8,19.7376,24.839,19.7702,35.0107,-9,35.0089,184.8,2042.8,-9,2317,0.34,8.077,3.031,4.666
150200616,31990,82143,203.7,18.0013,25.149,18.0363,34.8401,-9,34.842,177.2,2056.3,-9,2309,0.49,8.067,2.790,4.315
150200612,31990,81641,239.4,15.7269,25.482,15.7644,34.5738,-9,34.5734,178.3,2063.5,-9,2291,0.64,8.058,2.509,3.903
150200607,31990,80654,407.8,8.5595,26.463,8.6026,34.0749,-9,34.0786,163.3,2145.2,-9,2276,1.6,7.949,1.544,2.436
150200603,31990,75359,805.3,4.5575,27.256,4.621,34.4085,-9,34.407,29,2330.2,-9,2354,3.04,7.666,0.759,1.204
150200601,31990,74646,1012.9,3.9496,27.39,4.0266,34.496,-9,34.4962,41.8,2340.9,-9,2373,3.03,7.702,0.810,1.285
150200713,31990,114727,5.6,23.0879,23.794,23.089,34.8494,-9,-9,214.9,1965.3,-9,2303,0.13,8.138,3.736,5.702
150200708,31990,114227,60.6,23.097,23.789,23.1094,34.846,-9,-9,214.3,1967.6,-9,2308,0.12,8.141,3.768,5.750
150200707,31990,114116,75.1,23.0879,23.79,23.1032,34.8437,-9,-9,215.3,1961.6,-9,2306,0.14,8.148,3.807,5.810
150200705,31990,113852,99,23.0575,23.808,23.0777,34.8562,-9,-9,214.2,1959.8,-9,2304,0.14,8.148,3.803,5.803
180200106,61290,173443,3998.5,1.1419,27.782,1.4595,34.6837,147.8,34.683,146.5,2323.9,-9,2419,2.49,7.939,1.248,1.984
180200523,61390,71342,5.2,24.6334,23.504,24.6345,35.069,231.4,35.0657,210.6,1965.4,-9,2308,-9,8.119,3.816,5.795
180200519,61390,71003,26,24.6306,23.503,24.6362,35.066,231.7,35.0635,210.8,1965.3,-9,2312,-9,8.125,3.861,5.863
180200517,61390,70813,45.6,23.8649,23.698,23.8744,35.0223,222.9,35.0234,216.9,1964.9,-9,2307,0.09,8.130,3.794,5.775
180200516,61390,70703,60.7,23.43,23.897,23.4426,35.1167,222.7,35.1151,218.8,1988.3,-9,2315,0.09,8.110,3.628,5.528
180200515,61390,70606,76,22.909,24.054,22.9245,35.1244,214.5,35.1206,218.3,1989.4,-9,2316,0.09,8.117,3.616,5.518
180200513,61390,70415,96.7,22.2041,24.284,22.2234,35.1629,206.9,35.1603,215.5,1988.5,-9,2321,0.09,8.136,3.663,5.600
180200512,61390,70321,106.9,22.0684,24.332,22.0896,35.176,201.8,35.1752,213.8,1992.5,-9,2316,0.1,8.124,3.565,5.453
180200511,61390,70223,117.2,21.9409,24.374,21.9641,35.1833,201.3,35.1812,212.1,1993,-9,2314,0.12,8.122,3.535,5.409
180200510,61390,70127,127.1,21.5908,24.473,21.6157,35.1853,191.1,35.1826,205,2002.2,-9,2320,0.15,8.121,3.499,5.359
180200508,61390,65914,144.4,21.2114,24.589,21.2392,35.201,185.9,35.1972,202.9,2010.2,-9,2320,-9,8.114,3.412,5.231
180200506,61390,65700,165.6,20.2514,24.808,20.2823,35.1474,184.3,35.1459,195.1,2014.7,-9,2309,-9,8.104,3.234,4.972
180200503,61390,65309,207.5,17.9927,25.241,18.0284,34.9565,187,34.9606,198.3,2027.9,-9,2301,0.3,8.105,2.984,4.615
180200614,61390,100910,230.2,17.0777,25.354,17.1159,34.8151,181.7,34.8149,193.1,2047.6,-9,2289,0.4,8.062,2.657,4.119
180200612,61390,100705,257.6,16.0384,25.517,16.0793,34.7114,-9,-9,200.7,2036.9,-9,2283,0.41,8.089,2.688,4.177
180200610,61390,100431,308.2,13.3315,25.87,13.3747,34.4108,204,34.4096,201.3,2065.1,-9,2275,0.7,8.062,2.307,3.608
180200607,61390,95849,405.6,9.4975,26.355,9.5433,34.1278,182.2,34.1269,164.3,2138.4,-9,2261,1.5,7.913,1.477,2.327
180200606,61390,95614,508.2,6.8178,26.702,6.8652,34.0586,119.2,34.0593,114.4,2222.3,-9,2278,2.28,7.747,0.947,1.499
180200605,61390,95334,610,5.4516,26.971,5.5027,34.1779,45.4,34.1765,46.7,2301.5,-9,2310,2.8,7.604,0.670,1.062
180200603,61390,94757,811.8,4.4931,27.245,4.5567,34.3853,19.7,34.3838,26.9,2344.3,-9,2345,3.05,7.590,0.638,1.011
190200102,72490,191816,4392.4,1.1182,27.787,1.4802,34.688,-9,-9,151.4,2319.9,-9,2427,2.49,7.973,1.345,2.138
190200512,72590,71332,254.9,14.667,25.699,14.7051,34.5524,195.1,34.5511,201.6,2040.1,-9,2268,0.56,8.078,2.489,3.881
190200506,72590,70004,507.6,6.9779,26.693,7.0259,34.0755,117.2,34.0753,111.1,2200.8,-9,2281,2.18,7.823,1.124,1.778
190200501,72590,64249,1016.8,4.0022,27.373,4.0799,34.4806,34,34.4804,40.1,2331,-9,2368,3.05,7.718,0.837,1.329
190200620,72590,95515,4.7,25.8056,23.003,25.8067,34.8796,285.5,34.8794,208.1,1948.6,-9,2291,0.1,8.106,3.838,5.809
190200619,72590,95332,15.1,25.8049,23.003,25.8083,34.8797,288.2,34.8779,207.2,1949.3,-9,2292,-9,8.106,3.843,5.817
190200618,72590,95128,26.5,25.7995,23.005,25.8053,34.8794,270.7,34.8801,207,1948.3,-9,2292,0.1,8.108,3.852,5.831
190200616,72590,94838,46.3,23.8467,23.727,23.8564,35.0533,258.8,35.0537,221.3,1971.6,-9,2306,0.1,8.118,3.712,5.651
190200615,72590,94647,61.7,23.087,23.973,23.0997,35.085,246.1,35.0845,222.3,1981.9,-9,2307,0.09,8.114,3.601,5.493
190200610,72590,94009,117.5,21.1315,24.64,21.1541,35.2384,211.8,35.2376,214.1,2000.4,-9,2314,0.11,8.122,3.442,5.278
190200606,72590,93318,164.7,19.5096,25.033,19.5396,35.1874,198.7,35.1886,208.3,2011.2,-9,2313,0.16,8.127,3.295,5.074
220200420,121890,43950,139.3,19.9586,24.886,19.9844,35.1481,198.5,35.1508,200.7,2024.8,-9,2308,0.18,8.089,3.116,4.793
220200418,121890,43731,166.3,18.9168,25.089,18.9464,35.0604,197.5,35.0519,198.8,2031.7,-9,2310,0.24,8.097,3.053,4.709
220200416,121890,43533,191.8,17.5059,25.319,17.5383,34.9033,201.1,34.9014,201.3,2034.9,-9,2295,0.31,8.090,2.847,4.409
220200412,121890,43139,241.2,15.4978,25.595,15.5352,34.6541,200.1,34.6554,198.9,2048.1,-9,2279,0.49,8.069,2.532,3.941
220200410,121890,42922,281,13.6208,25.825,13.6606,34.4301,199.1,34.4331,197.3,2063,-9,2273,0.68,8.058,2.310,3.611
220200407,121890,42347,359.1,10.743,26.207,10.7867,34.2117,209.1,34.2143,201.2,2094.5,-9,2270,1.04,8.028,1.958,3.079
220200406,121890,42045,512.6,7.0668,26.672,7.1156,34.0638,125.5,34.0621,121.7,2203,-9,2279,2.08,7.809,1.093,1.730
220200405,121890,41739,613.2,6.1106,26.922,6.1652,34.2198,50.4,34.2194,42.8,2284.1,-9,2302,2.77,7.626,0.720,1.140
220200403,121890,41217,800,4.4933,27.234,4.5558,34.3722,29,34.372,32.4,2332.3,-9,2351,3.01,7.651,0.730,1.158
220200401,121890,40438,1015,4.0618,27.381,4.1398,34.4985,39.2,34.4901,41.4,2341.3,-9,2369,3.04,7.686,0.784,1.243
220200522,121890,75002,6.9,23.9429,23.834,23.9444,35.2322,243.6,35.2294,210.6,1979.7,-9,2319,-9,8.120,3.766,5.729
220200521,121890,74904,14.9,23.9488,23.831,23.952,35.231,243.6,35.2317,210.4,1978.9,-9,2321,0.05,8.124,3.795,5.774
220200519,121890,74645,36.6,23.959,23.831,23.9667,35.2344,243.1,35.2349,210.5,1979.2,-9,2321,-9,8.123,3.793,5.770
220200518,121890,74554,45.8,23.9584,23.831,23.968,35.2336,242.6,35.2306,210.3,1979.1,-9,2316,0.05,8.116,3.739,5.688
220200517,121890,74452,45.8,23.9584,23.831,23.968,35.2336,242.6,35.2309,210.4,1978.9,-9,2328,0.05,8.134,3.872,5.890
220200516,121890,74348,61.9,23.9265,23.849,23.9395,35.2457,232.8,35.244,210.2,1982.1,-9,2324,0.04,8.123,3.795,5.773
220200515,121890,74258,76.5,23.9053,23.867,23.9214,35.2605,223.8,35.2568,210.5,1983.8,-9,2326,0.05,8.124,3.798,5.778
220200513,121890,74113,96.2,23.9167,23.88,23.9369,35.2823,221,35.281,210.3,1985.5,-9,2322,0.04,8.115,3.736,5.684
220200512,121890,74032,106.2,23.0603,24.092,23.0821,35.2315,218.3,35.2444,211,1992.4,-9,2316,0.07,8.109,3.584,5.467
220200510,121890,73855,116.6,21.5882,24.486,21.611,35.2016,212.3,35.1967,209.6,2010.3,-9,2313,0.09,8.097,3.343,5.120
220200508,121890,73700,128,20.8863,24.669,20.9107,35.1898,205.2,35.1889,205.4,2018.1,-9,2310,0.2,8.090,3.219,4.939
220200502,121890,72306,512,7.1109,26.668,7.1599,34.0658,-9,-9,123.1,2200.9,-9,2284,2.09,7.831,1.148,1.816
220200501,121890,71325,1024.5,3.9979,27.391,4.0762,34.5024,-9,-9,43.8,2342.2,-9,2383,3.02,7.730,0.866,1.374
220201101,121990,102106,4685.7,1.1129,27.787,1.5098,34.6874,155.4,34.6874,152.1,2328.7,-9,2422,2.49,7.933,1.235,1.964
230200115,20291,230723,2037.5,1.8886,27.679,2.0286,34.6239,-9,34.6262,89.5,2350,-9,2421,2.81,7.857,1.070,1.701
230200110,20291,222209,3010.3,1.3071,27.76,1.5254,34.6706,121.7,34.6708,126.3,2335.2,-9,2424,2.61,7.919,1.201,1.909
230200103,20291,214420,4395.8,1.1159,27.787,1.4783,34.6887,154.7,34.6895,151.4,2313.6,-9,2426,2.49,7.988,1.387,2.206
230200322,20391,81529,6.2,23.5134,23.822,23.5147,35.0495,252.9,35.0468,211.4,1970.5,-9,2307,-9,8.127,3.728,5.681
230200321,20391,81410,16.2,23.4881,23.841,23.4915,35.0653,252.1,35.0639,211.6,1973.6,-9,2309,-9,8.125,3.717,5.664
230200319,20391,81252,26.2,23.4699,23.85,23.4754,35.0699,250.7,35.063,211.4,1971.7,-9,2306,-9,8.124,3.704,5.644
230200318,20391,81152,36,23.3817,23.892,23.3892,35.0914,248.7,35.0886,211.6,1974,-9,2310,0.07,8.127,3.720,5.670
230200317,20391,81055,49.6,23.192,23.981,23.2021,35.1363,243,35.1391,212.3,1985,-9,2319,0.07,8.124,3.699,5.640
230200316,20391,80922,62.1,22.9681,24.083,22.9808,35.1849,240.9,35.1794,213.5,1983.8,-9,2319,0.07,8.129,3.704,5.652
230200313,20391,80536,99.1,22.6806,24.199,22.7006,35.229,228.7,35.2291,213.1,1986.2,-9,2322,0.06,8.133,3.704,5.656
230200311,20391,80314,118.2,22.6649,24.204,22.6888,35.229,224.8,35.2292,212.8,1986.6,-9,2322,0.04,8.133,3.700,5.650
230200308,20391,75909,154.8,20.2639,24.806,20.2929,35.1502,194.8,35.1534,201.7,2028.5,-9,2315,0.18,8.089,3.158,4.854
230200306,20391,75620,182.3,18.713,25.132,18.7453,35.0502,198.9,35.0607,198.2,2038.5,-9,2310,0.25,8.088,2.982,4.603
230200417,20391,123436,209.8,16.0291,25.53,16.0623,34.7255,200,34.7387,201.9,2035,-9,2292,0.38,8.109,2.798,4.348
230200415,20391,123056,229.1,14.269,25.749,14.3025,34.506,202.7,34.5116,203.9,2042.3,-9,2273,0.54,8.090,2.514,3.924
230200413,20391,122758,259.5,13.0306,25.91,13.0663,34.3847,205.5,34.3908,209.5,2049.3,-9,2271,0.66,8.093,2.414,3.778
230200411,20391,122234,310,12.023,26.051,12.0634,34.3135,212.3,34.3106,213.4,2061.6,-9,2269,0.79,8.079,2.267,3.555
230200405,20391,115818,612.3,5.5868,26.895,5.6387,34.1037,60.7,34.1057,59.1,2265.7,-9,2307,2.7,7.714,0.854,1.354
230200401,20391,114047,984.2,3.9332,27.372,4.0075,34.4705,43,34.4701,42.1,2345.3,-9,2372,3.03,7.685,0.778,1.235
240200122,30691,203200,5.7,22.6726,24.157,22.6738,35.1701,242.3,35.1704,215.4,1980,-9,2315,-9,8.134,3.695,5.642
240200119,30691,202800,26.7,22.6592,24.16,22.6646,35.1696,242.9,35.17,215.3,1978.5,-9,2312,-9,8.132,3.677,5.616
240200117,30691,202600,39.7,22.6263,24.177,22.6343,35.1793,243.6,35.175,215.2,1979.4,-9,2316,0.07,8.137,3.709,5.665
240200116,30691,202100,63.7,22.3158,24.308,22.3285,35.2352,243.9,35.231,217,1986.2,-9,2317,0.06,8.131,3.642,5.567
240200113,30691,201700,94.7,22.1064,24.378,22.1252,35.2501,220,35.2486,217.1,1984.7,-9,2314,0.04,8.132,3.621,5.537
240200108,30691,200900,153.9,20.1818,24.848,20.2105,35.176,194.4,35.175,196.3,2002.5,-9,2314,0.2,8.133,3.405,5.234
240200210,30791,30620,305.4,12.1097,26.01,12.1498,34.2817,-9,34.2787,194.8,2081.7,-9,2259,0.9,8.012,1.984,3.111
240200206,30791,25401,505.3,7.094,26.719,7.1422,34.1285,102,34.1251,96.8,2220.6,-9,2289,2.25,7.783,1.041,1.646
240200203,30791,24249,810.6,4.4237,27.253,4.4868,34.3865,32.3,34.3864,29.7,2340.4,-9,2347,3.04,7.611,0.666,1.057
240200201,30791,23522,1058.4,3.6829,27.425,3.7615,34.5055,-9,34.5091,46.1,2352.2,-9,2371,3.02,7.662,0.733,1.164
240200701,30891,202619,4543.2,1.1089,27.789,1.4885,34.6903,-9,-9,153,2328.5,-9,2421,2.47,7.931,1.229,1.954
250200413,41091,45359,257.3,14.0539,25.752,14.0911,34.4517,197.5,34.4541,201.8,2045.8,-9,2269,0.53,8.079,2.440,3.810
250200411,41091,45055,308.5,11.7758,26.034,11.8155,34.2302,197.9,34.2299,202.1,2066.9,-9,2267,0.82,8.068,2.196,3.446
250200408,41091,44556,411.2,8.5293,26.469,8.5727,34.0773,167.8,34.0774,169.5,2132.9,-9,2272,1.51,7.972,1.614,2.547
250200520,41091,74920,17.4,23.396,23.765,23.3996,34.9284,246.7,34.9275,215.2,1967.5,-9,2300,-9,8.125,3.686,5.619
250200518,41091,74802,27.2,23.3843,23.77,23.3899,34.9307,255.4,34.9303,215.1,1966.8,-9,2300,0.09,8.126,3.692,5.628
250200517,41091,74701,37.9,22.7222,24.092,22.7299,35.103,245,35.0981,217.5,1978.9,-9,2309,0.07,8.127,3.644,5.565
250200516,41091,74557,48.7,22.3988,24.259,22.4085,35.2027,239.7,35.1983,217.4,1978.5,-9,2331,0.07,8.163,3.875,5.922
250200510,41091,73931,119.6,20.8096,24.728,20.8324,35.2398,207,35.2404,203.5,2010.5,-9,2329,0.13,8.132,3.494,5.362
250200507,41091,73633,157.1,19.3896,25.008,19.4181,35.1133,195.2,35.1127,196.7,2024.1,-9,2316,0.21,8.112,3.198,4.927
250200503,41091,73216,209.7,17.3314,25.357,17.3665,34.8977,203.2,34.9086,200.8,2031.3,-9,2299,0.27,8.106,2.922,4.526
260200116,50791,205222,2004.2,1.9855,27.664,2.1242,34.6151,86.8,34.6166,85.4,2364.8,-9,2415,2.88,7.789,0.927,1.473
260200111,50791,202423,3006,1.3192,27.758,1.5374,34.6695,120.9,34.6703,125.6,2340.2,-9,2422,2.66,7.898,1.147,1.824
260200104,50791,195122,4402.6,1.1151,27.787,1.4783,34.6879,142.8,34.6864,152,2328.6,-9,2418,2.5,7.922,1.204,1.914
260200315,50891,53552,215.4,16.5674,25.465,16.6024,34.8027,201.1,34.7947,202.3,2042.5,-9,2290,0.32,8.082,2.711,4.207
260200313,50891,53358,241.5,15.2892,25.623,15.3263,34.6307,203.7,34.6285,202.3,2048,-9,2278,0.45,8.071,2.521,3.926
260200311,50891,53135,281.6,13.5085,25.841,13.5482,34.4201,205.3,34.4199,205.3,2060.1,-9,2267,0.63,8.054,2.278,3.561
260200308,50891,52735,361.5,10.4124,26.242,10.4554,34.1813,208.1,34.1778,203.2,2094,-9,2257,1.05,8.005,1.837,2.890
260200307,50891,52547,410.6,8.9296,26.423,8.9741,34.0987,188.8,34.0988,183.5,2130.4,-9,2260,1.4,7.941,1.532,2.416
260200303,50891,51235,812.8,4.5027,27.239,4.5664,34.3796,28.7,34.3776,30.8,2333.8,-9,2359,3.03,7.672,0.769,1.219
260200301,50891,50609,1029.3,3.8835,27.392,3.9612,34.4898,44,34.4915,43.4,2345.2,-9,2368,3.04,7.672,0.755,1.198
260200422,50891,113810,10.6,23.9173,23.588,23.9195,34.8967,256.1,34.8976,212.8,1964.6,-9,2297,-9,8.117,3.696,5.626
260200421,50891,113722,9.6,23.9263,23.585,23.9283,34.8966,256.6,34.8969,212.9,1964.7,-9,2300,-9,8.121,3.728,5.675
260200419,50891,113614,27.5,23.9263,23.584,23.9321,34.8959,256.5,34.8967,212.7,1965.1,-9,2295,-9,8.114,3.669,5.586
260200418,50891,113524,26.4,23.9261,23.585,23.9317,34.8971,256,34.8978,213.5,1967.7,-9,2299,0.1,8.115,3.685,5.609
260200417,50891,113413,36.7,23.3169,23.947,23.3244,35.1393,-9,-9,215.8,1975,-9,2314,0.09,8.131,3.749,5.715
260200416,50891,113254,46,22.5233,24.256,22.5326,35.2448,236.7,35.2322,222.4,1989.6,-9,2321,0.06,8.129,3.655,5.583
260200415,50891,113151,64.3,22.3258,24.359,22.3387,35.307,233.5,35.3076,222.4,1995.7,-9,2330,0.04,8.134,3.683,5.629
260200413,50891,113007,86.9,21.6729,24.524,21.6899,35.2825,231.9,35.2845,224.7,2002.8,-9,2324,0.04,8.124,3.535,5.412
260200411,50891,112740,104.6,20.8206,24.759,20.8405,35.2846,225.5,35.2859,223.7,2002.4,-9,2319,0.06,8.130,3.468,5.322
260200408,50891,112431,140.5,20.0423,24.945,20.0683,35.2544,220.4,35.2537,220.4,2010.8,-9,2323,0.07,8.134,3.413,5.248
260200406,50891,112241,165.4,19.1166,25.13,19.1463,35.1815,217.2,35.1862,220,2016.4,-9,2308,0.1,8.117,3.184,4.909
270200623,60591,70845,6.5,24.6653,23.409,24.6667,34.9559,275.6,34.9518,210.5,1964.7,-9,2304,0.08,8.115,3.784,5.748
270200619,60591,70603,27.8,24.5863,23.448,24.5922,34.9751,273.5,34.9634,211,1967.6,-9,2306,0.08,8.114,3.774,5.733
270200618,60591,70512,37.9,24.5673,23.456,24.5754,34.9788,249.3,34.9743,211.3,1967,-9,2306,0.08,8.115,3.779,5.742
280200111,70991,161829,3203.6,1.2543,27.765,1.4905,34.6732,132.5,34.6736,133,2343.1,-9,2427,2.59,7.905,1.165,1.853
280200104,70991,153507,4503.5,1.1095,27.787,1.4844,34.687,153.3,34.6889,152.7,2310.7,-9,2421,2.48,7.982,1.368,2.176
280200414,71091,35312,230.5,17.6777,25.297,17.7169,34.9289,201.3,34.9281,208.5,2038.7,-9,2316,0.32,8.115,3.029,4.688
280200412,71091,35101,253.7,16.2847,25.477,16.3254,34.7327,196,34.7417,212.9,2043.6,-9,2301,0.41,8.104,2.810,4.364
280200407,71091,34108,413.1,9.5302,26.353,9.5769,34.132,182.3,34.1301,209.2,2124.9,-9,2263,1.43,7.954,1.610,2.537
280200406,71091,33828,510.3,7.4143,26.645,7.4642,34.0912,126.7,-9,118.4,2196.3,-9,2274,-9,7.816,1.123,1.775
280200405,71091,33515,613.8,5.9959,26.876,6.0499,34.143,66.1,34.1426,-9,2264.2,-9,2299,2.6,7.687,0.815,1.291
280200403,71091,32933,798.3,4.6373,27.186,4.7006,34.3308,27.8,34.3299,-9,2322.7,-9,2355,3,7.695,0.809,1.283
280200401,71091,32234,1028.9,3.8282,27.39,3.9055,34.4795,44.3,34.4816,43,2340.5,-9,2364,3.01,7.675,0.757,1.202
280200520,71091,70313,13.3,25.5736,23.079,25.5765,34.8847,-9,34.8894,-9,1956.2,-9,2302,0.12,8.113,3.874,5.869
280200514,71091,65843,73.9,23.5077,23.825,23.523,35.0516,-9,35.0494,-9,1973.1,-9,2316,0.1,8.135,3.799,5.788
280200512,71091,65656,94.5,22.5061,24.158,22.5251,35.1087,-9,35.1053,-9,1966.3,-9,2324,0.12,8.171,3.930,6.005
280200507,71091,65155,150.6,20.8584,24.729,20.8871,35.2588,-9,35.2585,-9,2007.5,-9,2330,0.14,8.138,3.535,5.424
280200505,71091,64937,180,20.1332,24.901,20.1667,35.2283,-9,35.2274,-9,2018,-9,2327,0.16,8.127,3.385,5.204
280200503,71091,64624,205.8,18.8076,25.076,18.8441,35.0076,-9,35.0169,-9,2040.9,-9,2316,0.32,8.093,3.024,4.666
290200116,80991,63627,2002.7,1.9191,27.675,2.0566,34.6213,88.4,34.6221,88.8,2354.2,-9,2424,2.79,7.852,1.063,1.690
290200111,80991,61159,3001.2,1.3059,27.757,1.5233,34.6676,127,34.6677,126.6,2339.6,-9,2433,2.61,7.932,1.239,1.970
290200514,81091,65251,229.3,18.636,25.136,18.6764,35.0292,189.5,35.0286,191.3,2040.2,-9,2302,0.25,8.073,2.882,4.450
290200512,81091,65059,257.7,17.2657,25.345,17.3088,34.8615,193,34.8647,192.8,2043.7,-9,2289,0.33,8.067,2.697,4.179
290200510,81091,64822,310.2,14.0801,25.754,14.1252,34.4615,196.7,-9,196.8,2057.7,-9,2267,0.57,8.050,2.307,3.602
290200507,81091,64349,415.4,9.9929,26.286,10.0412,34.1451,200.3,34.1453,197.5,2099.3,-9,2259,1.12,8.003,1.805,2.841
290200506,81091,64101,515.1,7.6228,26.616,7.674,34.0916,119.5,34.0888,117.6,2194.7,-9,2298,2.02,7.882,1.314,2.077
290200505,81091,63826,611.6,6.4229,26.825,6.4787,34.148,77,34.1453,74.2,2250.3,-9,2308,2.48,7.757,0.967,1.531
290200503,81091,63222,808.7,4.7652,27.208,4.8302,34.377,30.4,34.3767,30.5,2321.5,-9,2335,3,7.629,0.699,1.108
290200502,81091,62928,909.9,4.0704,27.314,4.1395,34.4157,37,34.4161,35.2,2337.4,-9,2347,3.03,7.625,0.679,1.078
290200622,81091,100526,7,25.8707,23.038,25.8722,34.9533,215.4,34.9528,205.9,1960.6,-9,2301,-9,8.099,3.823,5.785
290200621,81091,100418,18.4,25.8719,23.039,25.876,34.9544,216.8,34.9521,207.1,1958.5,-9,2302,-9,8.104,3.856,5.835
290200619,81091,100209,26.2,25.8642,23.042,25.87,34.9553,218.6,34.953,207.9,1961.2,-9,2302,-9,8.100,3.828,5.792
290200618,81091,100104,34.8,25.819,23.057,25.8267,34.9564,217.7,34.9564,207.5,1960.7,-9,2299,0.07,8.097,3.798,5.748
290200617,81091,100003,42.2,25.8046,23.069,25.814,34.9673,217,34.9652,207,1961.4,-9,2298,0.07,8.094,3.779,5.719
290200616,81091,95848,59.1,24.345,23.603,24.3576,35.0854,231.9,35.0873,223.2,1970.5,-9,2311,0.04,8.119,3.789,5.758
290200613,81091,95545,98.2,22.7065,24.094,22.7264,35.1003,222.3,35.1032,220,1981.4,-9,2312,0.07,8.128,3.651,5.576
