"No","lat","long","A","B","C","D","E","F"
25291,-71.5,243.5,0.02963704,0.05766366,0.2359986,0.2785512,2.693064,1.163042
25292,-70.5,243.5,0.02729899,0.1867371,0.03784908,0.38666,2.589521,1.339544
25293,-69.5,243.5,0.06234721,0.2635953,0.03252461,0.424972,2.76095,1.580836
25294,-68.5,243.5,0.04276902,0.1608196,0.05237535,0.3761271,3.149951,1.825865
25295,-67.5,243.5,0.02397904,0.1360182,0.05263681,0.2360682,3.680842,2.038064
25296,-66.5,243.5,0.0500036,0.03823011,0.08785423,0.02175461,4.213188,2.137301
25297,-65.5,243.5,0.04019938,0.1262144,0.1175522,0.2908867,4.761366,2.019618
25298,-64.5,243.5,0.01400468,0.5335091,0.1325849,0.5925993,5.404781,1.858275
25299,-63.5,243.5,0.0201193,0.4646427,0.1131449,0.9345725,6.231534,1.617462
25300,-62.5,243.5,0.04365802,0.1241566,0.4524935,0.9930908,7.339368,1.237385
25301,-61.5,243.5,0.1507167,0.3461753,1.033886,0.6065348,8.72856,0.7507334
25302,-60.5,243.5,0.04490558,0.2162939,1.64727,0.4768126,10.0007,0.3134832
25303,-59.5,243.5,0.06795572,0.2996123,2.114007,0.5161253,10.83718,0.1294605
25304,-58.5,243.5,0.08213086,0.2536124,2.588809,0.03401932,11.33845,0.4737405
25305,-57.5,243.5,0.3007491,0.07963638,3.044695,0.2803771,11.57629,1.160018
25306,-56.5,243.5,0.681811,0.03865343,3.262867,0.8316597,11.62149,2.014347
25307,-55.5,243.5,1.029332,0.1133627,3.506243,1.425684,11.65408,2.89175
25308,-54.5,243.5,1.229902,0.3327739,3.844942,1.989878,11.71365,3.637808
25309,-53.5,243.5,1.374148,0.2548988,4.235927,2.509,11.76868,4.150441
25310,-52.5,243.5,1.464826,0.2116291,4.619705,2.899892,11.92892,4.419221
25311,-51.5,243.5,1.674919,0.2240994,4.957752,3.147018,12.17287,4.45061
25312,-50.5,243.5,1.906569,0.2180522,5.233808,3.27422,12.4727,4.288197
25313,-49.5,243.5,2.121184,0.4354848,5.440406,3.265373,12.80554,3.966655
25314,-48.5,243.5,2.28572,0.7304597,5.547804,3.13888,13.1203,3.521604
25315,-47.5,243.5,2.413794,0.7861956,5.594141,3.006294,13.39501,3.068756
25316,-46.5,243.5,2.522693,0.238936,5.617504,2.912796,13.64018,2.761443
25317,-45.5,243.5,2.524651,0.3050203,5.526625,2.893312,13.86329,2.589147
25318,-44.5,243.5,2.368778,0.2942464,5.45158,2.895643,14.05762,2.508523
25319,-43.5,243.5,2.314364,0.6965174,5.42432,2.950096,14.22091,2.505657
25320,-42.5,243.5,2.205181,1.045212,5.459825,3.032247,14.38843,2.545485
25321,-41.5,243.5,1.908849,1.347275,5.551456,3.150609,14.55999,2.631545
25322,-40.5,243.5,1.524067,1.61924,5.476671,3.300623,14.36807,2.753772
25323,-39.5,243.5,1.238264,1.880429,5.199371,3.475656,14.02665,2.894377
25324,-38.5,243.5,1.043447,2.096788,5.029263,3.674003,13.75717,3.063392
25325,-37.5,243.5,0.8589797,2.266252,4.877201,3.909759,13.57108,3.263654
25326,-36.5,243.5,0.7980413,2.359912,4.815885,4.183946,13.50347,3.483811
25327,-35.5,243.5,0.8707437,1.963647,4.866841,4.485974,13.53832,3.736122
25328,-34.5,243.5,0.9981568,1.5943,5.022373,4.784705,13.66656,4.024047
25329,-33.5,243.5,0.9380666,1.255769,5.226052,4.772161,13.86711,4.342858
25330,-32.5,243.5,0.9576423,0.9305241,5.238257,4.733629,14.10312,4.71082
25331,-31.5,243.5,1.107361,0.5803721,5.337044,4.32831,14.3563,5.12078
25332,-30.5,243.5,1.377859,0.1268824,5.504703,3.904424,14.64869,5.589221
25333,-29.5,243.5,1.783691,0.04364092,5.732596,3.482067,14.98235,6.111768
25334,-28.5,243.5,2.204455,0.07517386,6.005665,3.086016,15.34595,6.707814
25335,-27.5,243.5,2.589083,0.08451034,6.312053,2.744859,15.73584,7.380377
25336,-26.5,243.5,2.885117,0.1145021,6.637123,2.488398,16.13436,8.142647
25337,-25.5,243.5,3.111596,0.09884768,6.956617,2.334033,16.50813,9.010037
25338,-24.5,243.5,3.322688,0.0599099,7.263091,2.294151,16.84543,10.00384
25339,-23.5,243.5,3.505718,0.01313828,7.543444,2.305133,17.12585,10.99333
25340,-22.5,243.5,3.657824,0.1132479,7.792088,2.342079,17.31063,10.87932
25341,-21.5,243.5,3.784586,0.07028644,8.010803,2.405668,17.42962,10.80392
25342,-20.5,243.5,3.895235,0.01934905,8.204019,2.508572,17.42141,10.75574
25343,-19.5,243.5,3.993799,0.07756081,8.34447,2.63449,17.41591,10.6825
25344,-18.5,243.5,4.069679,0.1062966,8.385572,2.424682,17.36135,10.49945
25345,-17.5,243.5,4.091158,0.0644533,8.297533,2.220286,17.21237,10.20103
25346,-16.5,243.5,3.976605,0.07037841,8.185978,2.123962,17.12853,10.04108
25347,-15.5,243.5,3.794752,0.04678576,8.087496,2.180775,17.1718,10.13455
25348,-14.5,243.5,3.476152,0.1334505,7.892385,2.385463,17.12641,10.35802
25349,-13.5,243.5,2.966857,0.09879657,7.479611,2.698781,16.73172,10.54275
25350,-12.5,243.5,2.31382,0.04626849,6.848824,3.076438,15.9806,10.61941
25351,-11.5,243.5,1.674442,0.07608036,6.093606,3.433548,14.93074,10.53825
25352,-10.5,243.5,1.064793,0.1287365,5.370127,3.66548,13.74399,10.28345
25353,-9.5,243.5,0.5972274,0.1361215,4.799315,3.740735,12.61941,9.895319
25354,-8.5,243.5,0.3375957,0.444346,4.427675,3.822712,11.53739,9.644996
25355,-7.5,243.5,0.09208064,0.827586,4.037536,4.022951,10.64313,9.520174
25356,-6.5,243.5,0.0369558,1.326513,3.406464,4.108392,9.682354,9.379388
25357,-5.5,243.5,0.01218854,1.637404,2.769468,4.108059,8.713101,9.033018
25358,-4.5,243.5,0.02926203,1.529345,2.345306,4.12192,8.120308,8.792686
25359,-3.5,243.5,0.01026225,1.512506,2.180463,4.298454,8.202232,8.986419
