"No","NN.sigma","lat","long"
149,0.0583777998802246,-62,363
150,0.026218099107662,-62.487,363.01
151,0.0127782758372911,-63.015,362.98
152,0.00218812403654486,-63.489,363.01
153,0.0199329089733804,-63.996,362.99
154,0.00800464016013406,-64.491,362.85
155,4.56217962658835e-05,-65,363
156,0.00861008633194296,-65.503,363
157,0.00617436507115948,-66.002,362.99
158,0.00681958764879171,-66.512,363.08
159,0.0344561282624606,-67.005,363.02
160,0.0111630969503274,-67.49,362.99
161,0.00824840559070855,-68,363
162,0.0193451407922052,-69.609,360
163,0.0164002613852029,-69.004,359.99
164,0.0165624507748767,-68.487,360.03
165,0.0467942611163953,-67.508,360.01
166,0.00442880845609793,-67.001,359.99
167,0.00478432818726208,-66.499,360.01
168,0.0649163296120411,-66.003,360
169,0.00979747627506071,-65.514,360
170,0.0650206900639092,-65.004,359.99
171,0.00768299406357233,-64.502,360
172,0.023265118900792,-64.004,360
173,0.0251378394215986,-63.502,360
174,0.0524484746011614,-62.998,360.01
175,0.0487515634134784,-62.503,359.99
176,0.0913810350877842,-61.501,360
177,0.0501542055419526,-60.999,360
178,0.0448694307056544,-60.502,360
179,0.0415301169666049,-59.998,360
180,0.0719604168851654,-59.5,360
181,0.0490505624670957,-59.004,360
182,0.031641404234005,-58.499,360
183,0.014333587310137,-58.009,359.99
184,0.144419857024533,-57.505,360
185,0.0646088912915128,-57,360
186,0.0653231553737646,-56.501,360.01
187,0.0453378014549769,-56,360
188,0.198520439544998,-55.5,360
189,0.327993269500872,-55.002,360
190,0.104238732568207,-54.494,360
191,0.273648857572826,-54,360
192,0.0767167248997998,-53.503,360.01
193,0.0296680394484853,-53.001,360
194,0.841970006585894,-51.01,359.94
195,0.821047454387755,-50.501,360
196,0.912100007457181,-50.006,360.02
197,0.892102494772527,-49.499,360
198,0.834228156293144,-49.005,360
199,0.309518039644253,-48.497,359.99
200,0.367241268483546,-48.001,360
201,0.0274290085919546,-47.003,359.99
202,0.817115549083778,-46.499,360.01
203,0.0649792506892698,-62.02,359.93
204,0.148972810148257,-52.197,359.89
205,0.00145356260251455,-67.993,359.92
206,1.38032603838049,-42.334,369
207,1.32689407976053,-44.66,367.1
208,0.486989050882296,-48.912,362.8
209,0.381930366927138,-52.505,358.62
210,0.14533935621919,-56.005,360.01
211,0.0131498303468769,-57.5,360.01
212,0.0974542377858824,-58.004,360
213,0.223517739293128,-59,360.01
214,0.0725223857980791,-60.005,360
215,0.00799354578426735,-64.5,360
216,0.0399748489204337,-65.501,360
217,0.130840334439333,-70.52,351.82
218,0.0150827006142335,-66.5,360
219,0.0460215535584075,-67.5,360
220,0.0056447528492694,-69.198,360.04
221,0.0383998605888823,-69.4,360
222,0.00242502655525692,-69.61,360
223,0.416637138486727,-69.075,342.68
224,0.266214442709065,-68.797,342.05
225,0.280474156706537,-67.967,339.98
226,0.2382966329958,-66.952,334.69
227,0.209251536523381,-66.212,329.08
228,0.362331835231683,-65.81,325.37
229,0.33604807207068,-65.452,322.29
230,0.257471254529712,-65.283,320.98
231,0.0815869903580786,-64.947,318.34
232,0.0752647644453389,-64.584,315.77
233,0.138077471353077,-64.3,313.35
234,0.0391324977296355,-63.916,311.35
235,0.0586565282240981,-63.92,310.92
236,0.235315024912384,-63.865,309.99
237,0.260690764298522,-63.706,309.13
238,0.173947756773594,-63.702,308.69
239,0.0995637468381776,-63.472,307.9
240,0.0721314097675129,-63.288,306.77
241,0.0356714261181664,-60.708,306.39
242,0.036455923886875,-60.627,306.17
243,0.00265890310213478,-60.445,305.68
244,0.19873554658429,-56.119,296.24
245,0.698970649711215,-51.945,360
246,0.145670064554314,-52.47,360
247,0.0448724904706863,-53.011,360
248,0.0378242673761512,-55.006,360
249,0.00986429382735663,-56,360
250,0.0197241221722443,-56.933,360
251,0.000677067160113192,-57.499,359.99
252,0.034081786237094,-57.996,360
253,0.0232218118957876,-58.499,360.01
254,0.0553217905700183,-59.522,360
255,0.105683360735432,-59.999,360
256,0.0511753004356159,-60.501,360.03
257,0.106119671069506,-61.007,360
258,0.042035873632557,-61.98,360.02
259,0.0854549826153325,-62.491,360.07
260,0.024974212666022,-64.04,360
261,0.0469086727260791,-65.009,359.99
262,0.0138065391775407,-65.5,360
263,0.0604529750345305,-66.013,360.12
264,5.19821758875091e-05,-66.498,359.99
265,0.0158882837861972,-67.002,360
266,0.00493330591593982,-67.496,360.01
267,0.03831025475034,-68.001,360
268,0.0654591658910539,-68.501,360
269,0.0244531659271472,-68.75,360
270,0.0146427443139446,-69.016,360
271,0.0102595565258853,-71.007,348.24
272,0.00919974007653133,-70.941,348.04
273,0.008851281824744,-70.773,347.54
274,0.0108310683977402,-70.664,347.21
275,0.126658062668793,-70.304,346.14
276,0.149465783300407,-70.088,345.5
277,0.122159305717273,-69.569,344.01
278,0.358755016336995,-69.045,342.5
279,0.220631881743498,-68.538,341.26
280,0.265198226120917,-68.022,340.02
281,0.179135891388084,-67.677,338.21
282,0.236333553593034,-67.327,336.39
283,0.125940780297174,-66.967,334.63
284,0.132607971254738,-66.613,332.9
285,0.142636355608928,-66.447,331.33
286,0.100204672489386,-66.308,330.01
287,0.229721976173683,-66.175,328.71
288,0.216990846297377,-66.031,327.42
289,0.184562893036749,-65.901,326.14
290,0.277100543762067,-65.754,324.87
291,0.272374059276562,-65.442,322.22
292,0.153712569464518,-65.271,320.89
293,0.134404171384965,-65.093,319.48
294,0.0773300108228956,-64.945,318.49
295,0.0801341691405435,-64.814,317.51
296,0.0475462094506146,-64.615,315.82
297,0.0226145894134568,-64.5,315
298,0.0197174828001894,-64.191,312.48
299,0.00192030728734791,-64.054,311.71
300,0.0213617417545602,-63.896,310.93
301,0.026124943577585,-63.879,310.47
302,0.00366333186212472,-63.849,309.97
303,0.00307739054096272,-63.793,309.56
304,0.0133038098419868,-63.717,309.19
305,0.0118855564389836,-63.473,307.95
306,0.00227891305310297,-63.558,308.28
307,0.0111447756800602,-63.415,307.46
308,0.0606029235764461,-63.316,306.94
309,0.00893524632454856,-63.219,306.29
310,0.0178054544012712,-63.149,305.84
311,0.531483145735448,49.235,349.34
312,0.98026881664727,49.195,348.8
313,1.13989296270156,49.168,348.57
314,1.03326557923073,49.107,347.8
315,1.13578891357465,49.03,347.14
316,0.854073736144519,49.017,346.97
317,1.22423929051339,48.795,345.74
318,1.03894106722426,48.753,345.29
319,0.91258546205328,48.518,343.77
320,1.4389850338277,48.378,342.96
321,1.16856338437653,48.165,341.33
322,0.990677463955397,48.02,340.34
323,1.28058102126499,47.893,339.34
324,1.07498259278251,47.767,338.33
325,1.14155457026603,47.632,337.41
326,1.25548709748416,47.497,336.43
327,1.25932462767254,47.377,335.73
328,1.179043155231,47.277,334.98
329,1.12796699296639,47.1,333.71
330,1.11244376602375,47.063,333.33
331,1.52821234071493,46.912,332.7
332,1.48672874509258,46.865,332.49
333,1.40129724933179,46.542,330.85
334,1.59152632601729,46.362,330.12
335,1.65488953396412,46.08,329.24
336,1.4412652143599,45.343,326.83
337,1.45906534667895,45.563,327.68
338,0.540481340246498,44.903,324.95
339,0.136349985811146,43.807,321.58
340,0.0715159618850135,43.475,320.08
341,0.025556608783866,43.13,318.98
342,0.0640439147778895,42.845,318.02
343,0.0784419133429574,42.58,317.04
344,0.11495616851091,42.293,314.98
345,0.320084745313386,42.365,313.97
346,0.452842926174526,42.502,313.44
347,0.392980974233812,43.088,311.17
348,0.391466567038252,43.135,311
349,0.249365834291434,43.192,310.84
350,0.414043986704365,43.335,310.42
351,0.169941113747085,47.1,312.84
352,0.213036452298197,47.1,312.99
353,0.168553130800156,47.1,313.14
354,0.14790338652317,47.1,313.29
355,0.234169798627422,47.1,313.43
356,0.29031752694636,47.1,316.7
357,0.0046560693867319,47.103,316.87
358,0.656476224964059,47.101,317.82
359,1.38253386892394,47.101,319.01
360,1.27712108321238,47.233,321.7
361,1.440782437567,47.374,324.08
362,0.89187766143321,47.549,326.68
363,1.06003421480252,47.608,327.75
364,0.96004334948424,29.26,344.49
365,0.585216058735171,33.01,337.98
366,0.687171812675659,28.56,347.47
367,0.701023034979821,28.66,346.99
368,0.794785499773815,28.77,346.44
369,0.990223517693865,28.88,345.89
370,0.83773793992282,29.02,345.27
371,1.02321067132496,29.17,344.5
372,1.08816809267263,29.17,343.44
373,1.18990689992058,29.17,342
374,0.431001288022879,30.25,341.99
375,0.861428986645605,31.25,342
376,0.630612196633895,32.25,342
377,0.66667400729427,32.25,343.17
378,0.579188861195408,32.25,346.83
379,0.378839737741597,32.25,348.58
380,0.414621405982419,32.17,349.47
381,0.592178471109401,32.034,350.08
382,0.00557871173895699,55.58,347.4
383,0.390307079000557,57.28,343.11
384,1.11126186472825,59.74,336.18
385,1.2957107551929,60.38,334.35
386,0.465910263409274,59.67,330.18
387,0.925993904654903,58.76,332.73
388,0.625093762252738,57.79,335.29
389,0.885923945028536,55.69,334.22
390,0.349296770301939,54.92,328.35
391,0.237561620156086,54.68,326.66
392,0.88195704880049,53.25,329.69
393,0.361248146220723,52.49,331.58
394,1.06481194816279,52.87,325.08
395,0.778982492608614,52.65,325
396,0.928507240167001,52.1,325
397,0.219937942659112,51.75,330
398,0.305019651102341,52,331.04
399,0.171176300775232,52.93,333.46
400,0.215705821142511,51.05,339.44
401,0.353819753220344,50.42,343.24
402,0.3520058256816,50.72,345.8
403,0.0492213844399761,55.33,306.11
404,0.00799005061809299,55.97,306.73
405,0.0514148234471604,57.38,308.21
406,0.0251647392082387,58.49,309.44
407,0.0232561366767251,56.27,311.3
408,0.255698892960374,53.69,310.56
409,0.297835341649137,53.44,309.93
410,0.119860629137139,53.13,309.1
411,0.0520498777038796,52.87,308.49
412,0.0197011040275787,52.97,308.7
413,0.0323970074127379,57.67,303.47
414,0.0896276924481498,57.11,305.4
415,0.0673413534940481,55.7,306.47
416,0.0855491190958003,56.57,307.34
417,0.0979321412278777,59.47,310.5
418,0.449178727304779,60.13,311.24
419,0.397207970260249,60.31,311.43
420,0.124067784454377,59.05,316.5
421,0.0598892086681386,57.97,316.5
422,0.521515597918886,56.66,316.5
423,0.435168317947839,55.27,316.5
424,0.204215732229347,53.17,316.5
425,0.741589035077198,51.5,316.5
426,0.139462129328023,50,316.5
427,0.221440592886385,49.26,315.75
428,0.22020496255719,48.86,315.35
429,0.157586045128113,50.8,322.5
430,0.709961597338008,51.34,325
431,0.630544348656535,52.38,325
432,0.293838208301211,53.19,325.14
433,0.409336050869433,54.71,324.84
434,0.146760816957761,56.05,324.59
435,0.308384585261446,57.03,323.28
436,0.582920624542373,57.9,321.57
437,0.32757918691687,58.57,320.25
438,0.0230823840529251,59.03,319.35
439,0.0517871595841944,59.22,318.95
440,0.0101699361777457,59.59,318.17
