"No","NN.sigma_1800_today","lat","long"
146,0.00728274860313379,-63.001,357
147,0.00588824695359359,-62.5,357
148,0.00285842190930205,-62.011,357.03
149,0.00171717140855267,-62,363
150,0.000255103648507476,-62.487,363.01
151,6.43709320060773e-05,-63.015,362.98
152,0.00115498737693035,-63.489,363.01
153,0.000204146628225973,-63.996,362.99
154,0.000884058966925541,-64.491,362.85
155,0.000175594249379592,-65,363
156,0.00272414256242521,-65.503,363
157,0.00136844724013874,-66.002,362.99
158,0.000844953660715209,-66.512,363.08
159,0.000981953442718287,-67.005,363.02
160,0.00937672006915355,-67.49,362.99
161,0.000410801414731903,-68,363
162,0.00266255821081172,-69.609,360
163,0.00768725716728209,-69.004,359.99
164,0.00100040057589014,-68.487,360.03
165,0.00961396482860213,-67.508,360.01
166,0.0053828473539258,-67.001,359.99
167,0.000403383498768678,-66.499,360.01
168,0.00848270522725277,-66.003,360
169,0.0170690649423426,-65.514,360
170,0.00260901756019585,-65.004,359.99
171,0.000339744010454038,-64.502,360
172,0.000946779380898744,-64.004,360
173,0.00218420881952199,-63.502,360
174,0.00221183821712899,-62.998,360.01
175,0.00303801345666291,-62.503,359.99
176,0.000583293717989148,-61.501,360
177,0.00140608646605991,-60.999,360
178,0.00308674034840819,-60.502,360
179,0.00559780939901516,-59.998,360
180,0.036160888413649,-59.5,360
181,0.0152220020433593,-59.004,360
182,0.0360325209297971,-58.499,360
183,0.0233636247185227,-58.009,359.99
184,0.00273763556184264,-57.505,360
185,0.00593515260988066,-57,360
186,0.0719714060603236,-56.501,360.01
187,0.0101342246687446,-56,360
188,1.69973279317977e-05,-55.5,360
189,0.144177990070667,-55.002,360
190,0.00229581295819542,-54.494,360
191,0.0105610589880074,-54,360
192,0.0199242225434284,-53.503,360.01
193,0.0311142762740585,-53.001,360
194,0.1084530745981,-51.01,359.94
195,0.110767604141178,-50.501,360
196,0.0484668391269533,-50.006,360.02
197,0.118822691747441,-49.499,360
198,0.128898066026703,-49.005,360
199,0.0073109878564083,-48.497,359.99
200,0.167248245858392,-48.001,360
201,0.00869289371492106,-47.003,359.99
202,0.00325108995132542,-46.499,360.01
203,0.00212144860578198,-62.02,359.93
204,0.0475731139433278,-52.197,359.89
205,0.00538027288437322,-67.993,359.92
206,0.129903265306607,-42.334,369
207,0.0286756430893971,-44.66,367.1
208,0.141129241860811,-48.912,362.8
209,0.226344687458712,-52.505,358.62
210,0.00587078132786134,-56.005,360.01
211,0.000703381647863834,-57.5,360.01
212,0.0075712755512355,-58.004,360
213,0.00986432632536092,-59,360.01
214,0.0259807632405043,-60.005,360
215,0.00227050274049196,-64.5,360
216,0.00289891353000773,-65.501,360
217,0.0216448514000234,-70.52,351.82
218,0.0085413525949673,-66.5,360
219,0.0209436974749774,-67.5,360
220,0.000903295120122803,-69.198,360.04
221,1.84712914383532e-05,-69.4,360
222,0.00196444153095726,-69.61,360
223,0.00360362477257571,-69.075,342.68
224,0.00336082952406053,-68.797,342.05
225,0.0121834209438131,-67.967,339.98
226,0.00967219525655916,-66.952,334.69
227,0.00492909622091742,-66.212,329.08
228,0.00163033337420151,-65.81,325.37
229,0.0137701623774464,-65.452,322.29
230,0.00442486695557298,-65.283,320.98
231,0.0224748215361202,-64.947,318.34
232,0.00855114859946778,-64.584,315.77
233,0.0344644981150469,-64.3,313.35
234,0.00599476844276779,-63.916,311.35
235,0.0158779543876256,-63.92,310.92
236,0.00887753206207327,-63.865,309.99
237,0.00105426557932892,-63.706,309.13
238,0.0424988728606091,-63.702,308.69
239,0.0766963897291548,-63.472,307.9
240,0.0487635882348047,-63.288,306.77
241,0.0261618662337745,-60.708,306.39
242,0.0261022474545909,-60.627,306.17
243,0.00971491532028176,-60.445,305.68
244,0.00644965203281326,-56.119,296.24
245,0.0562645662525162,-51.945,360
246,0.0100970964102249,-52.47,360
247,0.00854273058520531,-53.011,360
248,0.00516013534540075,-55.006,360
249,0.00198869158406538,-56,360
250,0.00289771564871031,-56.933,360
251,0.00149425448942188,-57.499,359.99
252,0.000171555526123326,-57.996,360
253,0.010799351412704,-58.499,360.01
254,0.00698463710580059,-59.522,360
255,0.00197402975567096,-59.999,360
256,1.51951101162413e-05,-60.501,360.03
257,0.00483806608830521,-61.007,360
258,0.00358193493446125,-61.98,360.02
259,0.0351382695285881,-62.491,360.07
260,0.0131336454739268,-64.04,360
261,0.00312865592383098,-65.009,359.99
262,0.00153735232856374,-65.5,360
