"No","lat","long","A","B","C","D","E","F"
1,-69.5,20.5,0.00113386088993201,0.0125831553462238,0.000808368764529257,0.488705871969168,8.2923610758136,3.89191160220924
2,-68.5,20.5,0.000272540318414858,0.0240969008337201,0.000263218863229275,0.355523669114066,8.2923610758136,3.3802167053448
3,-67.5,20.5,0.00340723486175756,0.0232767423160747,0.00118567149382585,0.257517568407885,8.16070784085858,2.92794737598468
4,-66.5,20.5,0.000569468584282946,0.0195118467932617,0.00164127869971099,0.178115785607641,8.2923610758136,2.54225791017989
5,-65.5,20.5,0.000799045611274508,0.00817426431410062,0.000184353635381575,0.124545571161798,8.2923610758136,2.2373725214632
6,-64.5,20.5,0.0101084137135752,0.00114385790028098,0.00165520415851023,0.0888422347858104,8.2923610758136,2.00203371090685
7,-63.5,20.5,0.00333753856259746,0.00506131942489105,9.1860170712431e-05,0.0639254600487958,8.2923610758136,1.82033552832272
8,-62.5,20.5,0.00288525786954783,0.029412565152308,0.000898033193012539,0.0449242040698866,8.2923610758136,1.68304619372632
9,-61.5,20.5,0.0186693681060105,0.00801100919908054,0.000523347590811235,0.025173928520136,8.2923610758136,1.57809682109028
10,-60.5,20.5,0.00413823952920298,0.00975165295555726,0.00255537752482545,0.0112366431059267,8.2923610758136,1.48166230465286
11,-59.5,20.5,0.00502946038133132,0.0291902586717343,0.00378644098690481,0.00243015472448492,8.2923610758136,1.41988488873576
12,-58.5,20.5,0.00563669027697699,0.00689908272613953,0.00133571031268938,0.00619129613549893,8.2923610758136,1.33959814708357
13,-57.5,20.5,0.0161219352294858,0.0156285015681064,0.00720529310240541,0.00744266621030218,8.2923610758136,1.24042480205866
14,-56.5,20.5,0.0210375067994084,0.000939974524010909,0.00778834927556209,0.0414745714786582,8.2923610758136,1.12579928934389
15,-55.5,20.5,0.153440946478761,0.00356782108359957,0.00164781812266621,0.117884251609058,8.2923610758136,0.986863707084035
16,-54.5,20.5,0.0901006790645405,0.0225766946964117,0.0210598173773691,0.27397947495248,8.2923610758136,0.821066416553094
17,-53.5,20.5,0.021678218242521,0.0142977627402737,0.028798493418865,0.515296690769399,8.2923610758136,0.631342417621429
18,-52.5,20.5,0.00903677994074371,0.0596421476604057,0.251468696381588,0.338249542229697,8.2923610758136,0.437735393039504
19,-51.5,20.5,0.00398849265153731,0.00651893917325328,0.397092668522089,0.0503466069658668,8.2923610758136,0.287857042976182
20,-50.5,20.5,0.00253173781805092,0.0526061368109428,0.730360509505495,0.0402091759160104,8.20953615160139,0.261765945199228
21,-49.5,20.5,0.00264779497639058,0.0764201205150781,1.24918399988113,0.00384272193820073,8.2923610758136,0.434041105837215
22,-48.5,20.5,9.81025502345677e-05,0.0966638151347949,1.74895355982888,0.154835805481962,8.2923610758136,0.792121142543104
23,-47.5,20.5,0.0180205955609157,0.0178002066014023,2.28401059814178,0.634401293439973,8.2923610758136,1.26370122973545
24,-46.5,20.5,0.108160915361557,0.0054454835410962,2.88276920563747,1.26759748445592,8.2923610758136,1.79440007879362
25,-45.5,20.5,0.428748022534576,0.161808971132853,3.50478385087845,1.93623748719454,8.2923610758136,2.34258953162434
26,-44.5,20.5,1.06852240601475,0.0246716884884784,4.13567595086782,2.59779335523282,7.9915739504939,2.88450289840909
27,-43.5,20.5,1.77620557541794,0.0405803281535407,4.78114175325852,3.21518710077462,7.81629470116419,3.41042926731153
28,-42.5,20.5,2.26260087877529,0.421102602686043,5.4634841680993,3.8263816914305,7.67848367579634,3.92051812589725
29,-41.5,20.5,2.66455231090864,1.09841758635042,6.23045899936738,3.61232505223593,7.57201329555795,4.41618560222347
30,-40.5,20.5,3.05398797811219,1.38096233436602,7.05866486049928,2.9982030785763,8.2923610758136,4.91590370173079
31,-39.5,20.5,2.96341439094013,0.964124734781827,8.2923610758136,2.52591388499719,8.2923610758136,5.4422825125571
32,-38.5,20.5,3.05433848239202,0.409350689273483,8.2923610758136,2.09122365493032,8.2923610758136,6.04744977425716
33,-37.5,20.5,3.05738275403175,0.0435608361842627,8.2923610758136,1.60901899855527,8.2923610758136,6.77675241600928
34,-36.5,20.5,3.01482147935437,0.00264598237584283,6.86789363989293,1.1386600450746,7.56852834214787,7.49995893498243
35,-35.5,20.5,3.22536173048326,0.000601462080901304,6.80686887238174,0.764234021723659,7.63150042064696,6.82751589743978
36,70.5,20.5,1.06866647070357,0.0380255608509134,3.33797346466079,0.40947436644056,8.2923610758136,0.369634859926509
37,71.5,20.5,1.06521048625624,0.025211865981419,3.41571471138826,0.290282910254988,8.2923610758136,0.242111532199155
38,72.5,20.5,0.728296549748699,0.007141921809062,3.2608882613585,0.074277991268203,8.2923610758136,0.0551083561167689
39,73.5,20.5,0.17355979407813,0.000296025442550576,2.98762766685976,0.0191269865698468,8.2923610758136,0.00736544178157255
40,74.5,20.5,0.0637066030717797,0.00249565543830339,2.84217247070453,0.0336948591608681,8.2923610758136,0.130202943288706
41,75.5,20.5,0.0391757052454901,0.000649583795504454,2.98320406398129,0.105112682714932,8.2923610758136,0.00970807227471544
42,76.5,20.5,0.000649951597996157,0.00140188572372811,3.47157048319121,0.0232787614740055,7.61859005471155,0.143591865012245
43,77.5,20.5,0.0039826859046122,0.00145726726861814,4.28352477732189,0.0169992384057111,7.56625512924151,0.268107746470992
44,78.5,20.5,0.00221204440468747,0.000161278989990813,5.02867673882792,0.00116872650818198,7.62313910733304,0.285296261872657
45,79.5,20.5,0.60724818025793,0.000372158891197233,5.57882087397641,0.000656701298148092,7.72095207012157,0.241698909007641
