"No","NN.sigma_2100_4.5_today","NN.station_2100_4.5_today","NN.Mdist_2100_4.5_today","NN.sigma_today_2100_4.5","NN.station_today_2100_4.5","NN.Mdist_today_2100_4.5","NN.sigma_2100_8.5_today","NN.station_2100_8.5_today","NN.Mdist_2100_8.5_today","NN.sigma_today_2100_8.5","NN.station_today_2100_8.5"," NN.Mdist_today_2100_8.5","NN.sigma_1800_today","NN.station_1800_today","NN.Mdist_1800_today","lat","long","NN.sigma_today_1800","NN.station_today_1800","NN.Mdist_today_1800","lat_1800_today","long_1800_today","lat_today_1800","long_today_1800","lat_today_2100_8.5","long_today_2100_8.5","lat_2100_8.5_today","long_2100_8.5_today","lat_today_2100_4.5","long_today_2100_4.5","lat_2100_4.5_today","long_2100_4.5_today"
1,0.0488977762014434,11915,0.282064099265584,0.00869840450589951,1697,0.118020596378287,5.89383600566067,6531,6.22821195741052,0.706978148851733,2195,1.21230725405428,0.00114330669275197,860,0.0427233634334468,-56.994,336.69,0.00031430278440963,11479,0.0223968205271564,-62.598,142.21,77.07,26.5,70.339,226.44,71.045,200.41,70.582,232.23,79.496,29.444
2,0.0869917975472689,1970,0.379056438563288,0.0947221612536113,1697,0.39614091823215,6.12546831709009,13231,6.45352759511528,0.667599745568716,2012,1.16996345667029,0.0117549606500432,852,0.137281785516566,-56.15,344.58,0.0010318777059135,11567,0.0405871471633292,-61.997,121.45,77.5,379.08,68.76,245.94,77.22,181.87,70.582,232.23,62.04,308.97
3,0.0560186267030445,2164,0.302329693245305,0.00543402646987221,2102,0.0932215737770263,4.97753890037545,13231,5.33958811398982,0.83472302265226,2401,1.34659060848864,0.00360421451477231,2104,0.075893132447164,-57.745,353.53,0.00151057793203181,5925,0.0491119795797252,77.389,286.12,-76.501,176,75.513,204.73,77.22,181.87,77.825,285.56,77.003,286.79
4,0.00744354358743686,2169,0.109148887883027,0.0724282168516694,2325,0.344885009236,4.37501597491722,13231,4.75790090503402,0.587247450693437,2195,1.0817787812813,0.00487392307980096,2095,0.0882767655919532,-56.993,354,0.0178148587537575,6569,0.169206545143478,77.002,284.98,74.971,293,70.339,226.44,77.22,181.87,70.942,226.31,77.836,287.75
5,0.00646621587365397,2131,0.101711481989455,0.389431607052473,2325,0.849743154330428,4.12593114400372,13231,4.51810910350936,0.646462209580031,2195,1.14701222759131,0.00630144240210176,2100,0.100403906227088,-55.965,354.06,0.00845084514433305,13143,0.116323286060778,76.319,285.31,75.092,344.58,70.339,226.44,77.22,181.87,70.942,226.31,77.001,285.58
6,0.028507248159992,2127,0.214499466331804,0.26066224582751,2325,0.678568129655612,4.742527840033,13231,5.11243606886026,0.769248068667613,2195,1.27829580916408,0.00726923888659078,2111,0.107859607809751,-55.003,353.96,0.00100492514444021,13142,0.0400533580972547,76.345,288.07,74.995,345.7,70.339,226.44,77.22,181.87,70.942,226.31,77.824,286.86
7,0.131932842720206,11917,0.470934733567863,0.00924950171199831,1694,0.121715206813514,5.67117072415791,13231,6.01186447412945,1.29107262372859,2195,1.80343277322372,0.000528195569529389,1682,0.0290354232212782,-53.998,354.01,0.00134424739303282,13023,0.046327735004978,70.046,233.7,75.38,356.75,70.339,226.44,77.22,181.87,70.917,231.09,81.029,376.24
8,0.115287916418717,11916,0.438798438601048,0.0943511659867729,1694,0.395335601171123,6.55122553335465,13231,6.86837964286918,0.947291716904899,2009,1.46191438999519,0.00374888503323146,1668,0.0774035267039618,-53.007,354.01,0.00131754995363173,11556,0.0458651374220164,70.046,233.7,75,353.97,68.396,248.95,77.22,181.87,70.917,231.09,80.049,29.367
9,0.13127326600176,6525,0.469695686627445,0.469357634314009,2006,0.946722670082565,6.50260611345695,13231,6.82094834930509,1.01130653986589,2009,1.52654491462177,0.0721859240312755,10007,0.344291224146162,-49.006,354.01,0.0419277432307406,11865,0.260828413599633,58.5,194,74,362,68.396,248.95,77.22,181.87,67.848,248.72,65.7,191.27
10,0.0178674657140009,6529,0.169457965716988,0.206060276611952,1793,0.597054965049573,8.2923610758136,13231,8.18690077360784,0.0915004783848778,2009,0.389099774396247,0.0150861075541974,9909,0.155624812675735,-49.99,354.01,0.00697210090728176,1984,0.105625916119575,62,191,54.22,304.98,68.396,248.95,77.22,181.87,54.761,305.51,68.51,192.61
11,0.0404376886001488,2132,0.256076159447985,0.0627689516287162,310,0.320454088507941,6.73538647667083,13231,7.04828727284919,0.845021805014973,13279,1.35724382706092,0.00179597316520353,1044,0.0535538268539717,-56.065,353.2,0.035668098253291,2274,0.240273277887293,-65.131,140.64,75.914,278.62,70.233,164.22,77.22,181.87,-63.149,305.84,77.01,287.55
12,0.457663718202882,1970,0.932854859252033,0.17467287234678,1697,0.546387795928802,8.2923610758136,13231,9.08435452288305,0.898011727522001,2012,1.41171728941388,0.000665972909609007,1008,0.0326040086491115,-52.006,354,0.013530186953325,2361,0.14733559528766,-61.345,139.85,66.002,302.33,68.76,245.94,77.22,181.87,70.582,232.23,62.04,308.97
13,0.510274290157802,1970,0.994511924983846,0.120051344683914,2015,0.448188743723047,8.2923610758136,13231,8.89890617536588,0.712594886321117,2010,1.21830600630571,0.00952626372871325,1006,0.123529564486403,-51.002,354,0.0440802394714939,11602,0.267553860843666,-60.338,139.84,76.643,378.08,68.462,249.04,77.22,181.87,69.438,241.4,62.04,308.97
14,0.204373483474246,6529,0.59441334642513,0.220085162281365,2006,0.618703186205024,6.83883555412081,13231,7.14959664003709,0.0270898036346194,2009,0.209039948038774,0.179846601727472,9909,0.554975425273136,-49.993,354.02,0.00155274791069755,4548,0.0497931958042885,62,191,70.005,351.07,68.396,248.95,77.22,181.87,67.848,248.72,68.51,192.61
15,0.0513590044731744,6524,0.289216413644497,0.0486655885024092,2006,0.281380698255825,7.06902081654517,13231,7.37368950338113,0.550388955442467,2009,1.04037917983145,0.199466761179061,1791,0.586680215941115,-49.007,354,0.0283098471402117,11729,0.213747140041205,54.219,304.98,77,364.5,68.396,248.95,77.22,181.87,67.848,248.72,65.71,191.15
16,0.606900234936959,4277,1.10359267179626,0.0555671891787462,8360,0.301082182950057,8.2923610758136,13231,8.49751783856075,2.81649777566262,2009,3.2642727728113,0.0104412277435466,1755,0.129349430745094,-46.987,354.06,0.0372560730611905,1936,0.245640933693587,59.75,310.82,59.984,311.1,68.396,248.95,77.22,181.87,-48.498,30.002,64.767,321.05
17,0.100468067675608,2134,0.408439096051517,0.0290218429963899,1727,0.216448919071753,8.2923610758136,13231,7.88755217444285,0.796743467940782,13279,1.30710004404108,0.000406547392308796,210,0.0254727501658632,-55.012,353.97,0.000163800007646604,13100,0.0161679954054547,-56.005,360.01,81.009,378.36,70.233,164.22,77.22,181.87,70.849,234.95,76.328,288.1
18,0.0721255809952493,6514,0.344143199896944,0.00633107548232959,2088,0.100640302612958,8.2923610758136,13231,7.69345682490429,0.180711161207711,13279,0.556400702336012,0.00311260176341773,9730,0.070520661718993,-57.489,354,0.000201394977147153,13010,0.0179277914877786,-64.165,140.67,75.73,352.24,70.233,164.22,77.22,181.87,78.356,285.33,71.813,204.32
19,0.0470741534899827,13208,0.276654565094451,0.00118188552962094,2432,0.0434385291865905,6.0416787515211,13231,6.37199354805842,0.257645482112008,13279,0.67424257922188,0.000759442545014145,2374,0.0348175554447056,-57.993,354.02,0.0206122284822906,6573,0.182108399648583,68.383,246.88,75.701,292.99,70.233,164.22,77.22,181.87,70.999,220,72.71,182.4
20,0.0219145635155443,13209,0.187821941797322,0.0529747097360495,2208,0.293824255273886,6.41595192194205,13231,6.73645616335548,0.161472224184859,2416,0.52399485244876,0.0100783254998272,1133,0.12707249142798,-59.002,354,0.000718652179064949,2144,0.0338693338102712,-66.001,69.996,76.404,282.55,74.299,216.7,77.22,181.87,71.071,234.56,72.78,182.27
21,0.00259177182956711,13209,0.0643439746569887,0.0185691691311383,2208,0.172777563127608,6.57803244470799,13231,6.89454185322865,0.165882285146755,13284,0.531556320659744,0.016212533711951,1123,0.161366362109483,-59.49,354.01,0.00541585151778353,2157,0.0930652090458788,-62.999,60.005,76.28,285.61,72.375,138.87,77.22,181.87,71.071,234.56,72.78,182.27
22,0.00279223294518068,6617,0.0667886528014202,0.0110664879571967,2105,0.133182668264201,5.95441793973261,13231,6.28711708541623,0.74420044412319,2401,1.25188470438455,0.0183995107278192,2117,0.171980653484809,-57.251,354.04,0.00145003394157644,2363,0.0481171296577782,77.352,286.19,68.831,298.24,75.513,204.73,77.22,181.87,77.316,285.05,71.399,202.45
23,0.00226404692777212,6617,0.0601345181657052,0.00322311295618952,2105,0.0717632221989583,5.84839247284337,13231,6.18403791798114,0.553931073528235,13279,1.04438707349768,0.00257968837552277,2117,0.0641936513403765,-57.501,353.98,0.00487356084419823,2363,0.0882734787423787,77.352,286.19,68.831,298.24,70.233,164.22,77.22,181.87,77.316,285.05,71.399,202.45
24,0.0189297156722383,13209,0.174459365064401,0.0145720324824111,2023,0.152934647417652,6.3016609476579,13231,6.62508654570536,0.352273513014449,2416,0.802607939116433,0.00305396499064922,1123,0.0698524349084855,-57.999,354.01,0.0135075055181231,6573,0.147211385408377,-62.999,60.005,75.701,292.99,74.299,216.7,77.22,181.87,71.564,229.41,72.78,182.27
25,0.0785972756594756,13209,0.359709276845248,0.00512763766294467,2088,0.0905498430285519,6.14138129193043,13231,6.46901594888673,0.293197015934405,13279,0.724128782608113,0.00925039387407129,1041,0.121721098328548,-57.998,353.5,0.00236672295183302,2175,0.0614842281948363,-65.61,141.26,75.335,286.11,70.233,164.22,77.22,181.87,78.356,285.33,72.78,182.27
26,0.0325738554140092,6514,0.229474057027328,0.044290684311812,2088,0.268202941926228,7.18474035566395,13231,7.47737048452754,0.250255781195183,13279,0.663567729370961,0.0017746795949783,13026,0.053235179445729,-57.497,353.49,0.0253325908800835,2175,0.202075946722304,75.56,360.77,75.335,286.11,70.233,164.22,77.22,181.87,78.356,285.33,71.813,204.32
