"No","NN.sigma","lat","long"
146,0.00112489320283679,-63.001,357
147,0.000227640666541997,-62.5,357
148,0.0071196462690312,-62.011,357.03
149,0.0031864685456103,-62,363
150,0.00215301550615278,-62.487,363.01
151,0.000526105017682528,-63.015,362.98
152,0.000139590544400284,-63.489,363.01
153,0.000677574345148616,-63.996,362.99
154,0.000863660860773778,-64.491,362.85
155,0.00149157717746955,-65,363
156,0.000579698014180666,-65.503,363
157,0.00405939570072126,-66.002,362.99
158,0.00348558658679919,-66.512,363.08
159,0.00183517161412033,-67.005,363.02
160,0.0036852429179797,-67.49,362.99
161,0.000775032246211707,-68,363
162,0.00469425121686865,-69.609,360
163,0.000946212235689032,-69.004,359.99
164,0.00175332215402806,-68.487,360.03
165,0.00972540352849156,-67.508,360.01
166,0.00810387758372485,-67.001,359.99
167,0.00413574952701973,-66.499,360.01
168,0.00121214439331096,-66.003,360
169,0.0106058268148463,-65.514,360
170,0.00115314045509722,-65.004,359.99
171,0.000400080967334488,-64.502,360
172,0.00226090837054826,-64.004,360
173,0.00322482740818227,-63.502,360
174,0.00179284589463587,-62.998,360.01
175,0.00359981817350607,-62.503,359.99
176,0.00759943171946043,-61.501,360
177,0.00656421102034143,-60.999,360
178,0.0191696180521661,-60.502,360
179,0.00488181835866967,-59.998,360
180,0.0114449833885513,-59.5,360
181,0.00158040073760093,-59.004,360
182,0.0217905379068632,-58.499,360
183,0.0047424095898403,-58.009,359.99
184,0.0360703172578217,-57.505,360
185,0.00199234242155536,-57,360
186,0.0145297790087891,-56.501,360.01
187,0.0264925799712422,-56,360
188,0.0060242629271244,-55.5,360
189,0.021655145488009,-55.002,360
190,0.00255257705916664,-54.494,360
191,0.000365341730054122,-54,360
192,0.0234956135831983,-53.503,360.01
193,0.000190757263075043,-53.001,360
194,0.216346777227041,-51.01,359.94
195,0.109977493115462,-50.501,360
196,0.134898604820708,-50.006,360.02
197,0.200791869836713,-49.499,360
198,0.129110552577748,-49.005,360
199,0.137938272021569,-48.497,359.99
200,0.148756258519769,-48.001,360
201,0.07878045302077,-47.003,359.99
202,0.0514759840704845,-46.499,360.01
203,0.00206099735883259,-62.02,359.93
204,0.0499991656767303,-52.197,359.89
205,0.00132520878935782,-67.993,359.92
206,0.163774180221409,-42.334,369
207,0.135770043850937,-44.66,367.1
208,0.193422443863668,-48.912,362.8
209,0.0204388741456189,-52.505,358.62
210,0.00853747030848472,-56.005,360.01
211,0.0186483891662425,-57.5,360.01
212,0.0110900614971868,-58.004,360
213,0.0123488384351349,-59,360.01
214,0.019651443888594,-60.005,360
215,0.00129453550350508,-64.5,360
216,0.0187226924393009,-65.501,360
217,0.0346628470709634,-70.52,351.82
218,0.00151305206915017,-66.5,360
219,0.00638780818445826,-67.5,360
220,0.00530567764828582,-69.198,360.04
221,0.000222110138838424,-69.4,360
222,0.000421596593069631,-69.61,360
223,0.00890167992900966,-69.075,342.68
224,0.0231831991924839,-68.797,342.05
225,0.00292855817654451,-67.967,339.98
226,0.0104470859827693,-66.952,334.69
227,0.00620633393223743,-66.212,329.08
228,0.0104247769452633,-65.81,325.37
229,0.0222371235429144,-65.452,322.29
230,0.0280006871963612,-65.283,320.98
231,0.00943394179224342,-64.947,318.34
232,0.0310524764328766,-64.584,315.77
233,0.00345030506591404,-64.3,313.35
234,0.0143794975306231,-63.916,311.35
235,0.00105604146540835,-63.92,310.92
236,0.00705312773298511,-63.865,309.99
237,0.0021389090977241,-63.706,309.13
238,0.00634604108984958,-63.702,308.69
239,0.0380709911833256,-63.472,307.9
240,0.0256770270463221,-63.288,306.77
241,0.00610364300234524,-60.708,306.39
242,0.0122243061708551,-60.627,306.17
243,0.0119296299746152,-60.445,305.68
244,0.0686260680026398,-56.119,296.24
245,0.157873210632295,-51.945,360
246,0.0336430660255272,-52.47,360
247,0.00567117878821735,-53.011,360
248,0.00161115281543523,-55.006,360
249,0.0018989972371333,-56,360
250,0.00238275649960742,-56.933,360
251,0.00356390624817224,-57.499,359.99
252,0.00532093336741678,-57.996,360
253,7.87420545205858e-05,-58.499,360.01
254,0.0024947555364233,-59.522,360
255,0.0122728288802713,-59.999,360
256,0.000141336398332632,-60.501,360.03
257,0.00111692306996489,-61.007,360
258,0.0155672838154806,-61.98,360.02
259,0.00609614675823536,-62.491,360.07
260,0.0104921591310754,-64.04,360
261,0.00761998056302163,-65.009,359.99
262,0.000540500950969695,-65.5,360
263,0.00761517826009357,-66.013,360.12
264,0.00211248648597672,-66.498,359.99
265,0.00917041082053493,-67.002,360
266,0.00188421084799925,-67.496,360.01
267,0.00447970980594567,-68.001,360
268,0.00135769789355634,-68.501,360
269,0.00926181369077039,-68.75,360
270,0.00976138702527178,-69.016,360
271,0.00182319151792829,-71.007,348.24
272,0.00542076452400895,-70.941,348.04
273,0.000585744917483432,-70.773,347.54
274,0.00469803765438283,-70.664,347.21
275,0.0049156020617582,-70.304,346.14
276,0.00063777176689765,-70.088,345.5
277,0.00870402444049834,-69.569,344.01
278,0.00469816751665169,-69.045,342.5
279,0.00757825621808033,-68.538,341.26
280,0.000624297069796935,-68.022,340.02
281,0.00119341699772743,-67.677,338.21
282,0.000616768470813418,-67.327,336.39
283,0.00241870812068719,-66.967,334.63
284,0.000200344641752224,-66.613,332.9
285,0.000446034865129655,-66.447,331.33
286,0.0110437617663122,-66.308,330.01
287,0.000300657433759487,-66.175,328.71
288,0.000679390591665522,-66.031,327.42
289,0.00181606100860954,-65.901,326.14
290,0.00396226293690872,-65.754,324.87
291,0.0204106976881982,-65.442,322.22
292,0.0087786826366998,-65.271,320.89
293,0.0208335547448216,-65.093,319.48
294,0.0129504835560916,-64.945,318.49
295,0.00285586175532915,-64.814,317.51
296,0.00526224958598577,-64.615,315.82
297,0.0077477863386392,-64.5,315
298,0.0299221708458165,-64.191,312.48
299,0.0353795189997306,-64.054,311.71
300,0.000514543654087343,-63.896,310.93
301,0.00194534161597704,-63.879,310.47
302,6.71899981519473e-05,-63.849,309.97
303,0.000566665197548645,-63.793,309.56
304,0.000815878925271153,-63.717,309.19
305,0.00275215446929095,-63.473,307.95
306,0.00287642878470146,-63.558,308.28
307,0.000291439135838065,-63.415,307.46
308,0.00568493827389593,-63.316,306.94
309,0.000602996673794141,-63.219,306.29
310,0.0404097788046683,-63.149,305.84
311,0.00174578451147149,49.235,349.34
312,0.00764372850527463,49.195,348.8
313,0.00782759064285427,49.168,348.57
314,0.0167875463773854,49.107,347.8
315,0.018502772930338,49.03,347.14
316,0.00988175695286116,49.017,346.97
317,0.0191167444143335,48.795,345.74
318,0.0424734392611638,48.753,345.29
319,0.0403363812448909,48.518,343.77
320,0.0343506943414127,48.378,342.96
321,0.00269206810322083,48.165,341.33
322,0.0277192471004053,48.02,340.34
323,0.0550760727031619,47.893,339.34
324,0.00407235831711339,47.767,338.33
325,0.000152221173035073,47.632,337.41
326,0.00603383685701727,47.497,336.43
327,0.0052327350476631,47.377,335.73
